"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2023","50.00","49.00","50.00","50.00","","0.00%"
"03/13/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/10/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/09/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/08/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/07/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/06/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/03/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/02/2023","50.00","50.00","50.00","50.00","","0.00%"
"03/01/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/28/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/27/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/24/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/23/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/22/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/21/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/20/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/17/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/16/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/15/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/14/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/13/2023","50.00","49.00","49.67","49.67","0.28K","2.04%"
"02/10/2023","49.00","49.00","49.00","49.00","","0.00%"
"02/09/2023","49.00","49.00","49.67","49.67","0.00K","0.00%"
"02/08/2023","49.00","49.00","49.00","49.00","","0.00%"
"02/07/2023","49.00","49.00","49.00","49.00","","0.00%"
"02/06/2023","49.00","50.00","49.00","49.00","2.00K","-2.00%"
"02/03/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/02/2023","50.00","50.00","50.00","50.00","","0.00%"
"02/01/2023","50.00","51.00","50.00","50.00","2.00K","-1.96%"
