"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2019","0.0055","0.0055","0.0000","0.0000","","0.00%"
"07/22/2019","0.0055","0.0055","0.0030","0.0030","108.75K","0.00%"
"07/19/2019","0.0055","0.0055","0.0080","0.0080","40.10M","0.00%"
"07/18/2019","0.0055","0.0055","0.0000","0.0000","","0.00%"
"07/17/2019","0.0055","0.0055","0.0000","0.0000","","0.00%"
"07/16/2019","0.0055","0.0055","0.0030","0.0030","358.24K","0.00%"
"07/15/2019","0.0055","0.0055","0.0000","0.0000","","0.00%"
"07/12/2019","0.0055","0.0055","0.0000","0.0000","","0.00%"
"07/11/2019","0.0055","0.0055","0.0031","0.0030","3.00M","0.00%"
"07/10/2019","0.0055","0.0055","0.0000","0.0000","","0.00%"
"07/09/2019","0.0055","0.0075","0.0000","0.0000","","-26.67%"
"07/08/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"07/05/2019","0.0075","0.0075","0.0031","0.0031","436.25K","0.00%"
"07/04/2019","0.0075","0.0075","0.0030","0.0030","381.25K","0.00%"
"07/03/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"07/02/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"07/01/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/28/2019","0.0075","0.0075","0.0030","0.0030","5.00K","0.00%"
"06/27/2019","0.0075","0.0075","0.0030","0.0030","50.00K","0.00%"
"06/26/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/25/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/24/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/21/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/20/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/19/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/18/2019","0.0075","0.0075","0.0000","0.0000","","0.00%"
"06/17/2019","0.0075","0.0075","0.0000","0.0000","","-11.76%"
"06/14/2019","0.0085","0.0085","0.0055","0.0055","1.54M","0.00%"
"06/13/2019","0.0085","0.0085","0.0050","0.0050","1.50M","0.00%"
"06/12/2019","0.0085","0.0085","0.0000","0.0000","","0.00%"
