"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2024","450.00","455.00","465.50","450.00","311.93K","-1.32%"
"10/25/2024","456.00","456.00","458.50","455.00","124.78K","0.00%"
"10/24/2024","456.00","459.00","459.00","455.50","673.31K","-0.87%"
"10/23/2024","460.00","460.00","461.00","459.00","757.19K","1.10%"
"10/22/2024","455.00","460.00","460.00","455.00","312.58K","-1.19%"
"10/21/2024","460.50","468.50","468.50","460.50","228.81K","-1.60%"
"10/18/2024","468.00","473.00","473.00","467.50","111.63K","0.65%"
"10/17/2024","465.00","470.00","475.50","465.00","222.00K","-1.06%"
"10/16/2024","470.00","482.50","482.50","470.00","205.54K","-0.74%"
"10/15/2024","473.50","478.00","479.50","473.50","142.48K","-0.94%"
"10/14/2024","478.00","478.00","479.00","476.00","147.34K","0.21%"
"10/11/2024","477.00","476.00","479.50","476.00","226.45K","0.21%"
"10/10/2024","476.00","475.00","476.00","471.00","211.77K","1.06%"
"10/09/2024","471.00","471.00","474.00","471.00","348.54K","0.00%"
"10/08/2024","471.00","474.00","474.00","468.50","197.51K","-1.05%"
"10/07/2024","476.00","476.00","476.00","473.00","284.45K","0.00%"
"10/04/2024","476.00","476.00","476.00","472.50","1.01M","0.85%"
"10/03/2024","472.00","471.50","474.50","470.00","91.63K","-0.63%"
"10/02/2024","475.00","478.00","478.00","471.50","134.49K","0.74%"
"10/01/2024","471.50","474.50","477.00","471.50","147.40K","-0.21%"
"09/30/2024","472.50","466.50","475.50","466.50","187.42K","0.00%"
